file_path,file_name,folder,status,confidence,min_distance,closest_reference,dimensions,file_size_kb,phash
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-024-how-memory-works.png","lesson-024-how-memory-works.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,34.25,115,"profile of kelly.png",1344x768,877.34,f3337b33f99c36265e670ccccce3499c8d988ccc8ccc49b391e1c64d1acc8d9c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-025-why-stories-change-us.png","lesson-025-why-stories-change-us.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,29.0,121,"close up of kellys eyes.png",1344x768,858.2,97736f33c8c45376ccd11ccc681d946c6d888c7359ac2b73616fa1194fe1a4e6
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-025-why-music-moves-us.png","lesson-025-why-music-moves-us.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,28.25,121,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",1344x768,1000.59,97338b33a6ac73ace8421cdcd5952dad8b89e8c2f020a079379e9da72a61f29e
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-026-the-power-of-good-questions.png","lesson-026-the-power-of-good-questions.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,27.0,123,"close up of kellys eyes.png",1344x768,982.53,97374b33c8ce332ecc739dcc4b199ce7698c8c6158ce8cd87467a39498b989cc
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-026-the-science-of-smiling.png","lesson-026-the-science-of-smiling.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,28.25,121,"close up of kellys eyes.png",1344x768,757.99,b3724d1390cc66669c8ed1d88c2753ccac99c1e63619cc7373999d33726cae66
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-027-how-imagination-works.png","lesson-027-how-imagination-works.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,28.25,121,"facing to the left.png",1344x768,712.62,b7664733d98c3666cce7598c89334cccb998cce399ccee3146c6b99899991989
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-028-how-memories-are-made.png","lesson-028-how-memories-are-made.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,29.0,121,"facing to the left.png",1344x768,670.68,a3330f331ccc632ecccb98cccd391ccee99c8c7339cec71118c79998627337c6
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-027-how-ice-shapes-land.png","lesson-027-how-ice-shapes-land.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,40.25,109,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",1344x768,815.0,e4d9cd999b2626691932d32659268c33a4cc399b6e63ecc9719ba6e48c896f33
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-028-what-courage-really-means.png","lesson-028-what-courage-really-means.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,50.25,99,"close up of kellys eyes.png",1344x768,769.12,991569f396666972968c79fb868c797a868d18dc67a59a5e65a19a1a69a19698
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-030-why-everything-changes.png","lesson-030-why-everything-changes.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,21.75,128,"close up of kellys eyes.png",1344x768,754.68,d766323389cc6734bce7498cdf3988c67398cce3198edcc10666f6481993e798
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-031-how-change-happens.png","lesson-031-how-change-happens.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,27.0,123,"close up of kellys eyes.png",1344x768,687.79,97760d73888d5e6ec8c91399626393ae7a33c6ee3e11c1db1c84e1599ea2615d
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-029-the-hidden-life-of-soil.png","lesson-029-the-hidden-life-of-soil.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,32.5,117,"close up of kellys eyes.png",1344x768,1083.26,88cc71cee7333233c68c2446b26e0739f8ce0f39f9a10e8ce4e41a67e7fc3067
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-029-why-time-feels-different.png","lesson-029-why-time-feels-different.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,40.5,109,"head and shoulders without chair.png",1344x768,839.87,919f5ac64e392b9cc74ecd39ffa30735dc73e303199cb2e3498fb00851c7211c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-032-the-moon-and-the-tides.png","lesson-032-the-moon-and-the-tides.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,27.75,122,"close up of kellys eyes.png",1344x768,775.71,924696d236c976b6c9246933adcd6da499246d64c643129a96db5edab65b58cc
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-030-why-we-help-strangers.png","lesson-030-why-we-help-strangers.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,30.0,120,"facing to the left.png",1344x768,911.91,d013e019da441b99cdeb0ce6ec480d63cde40cf2b0d76d8cb2e44df498f6cd9d
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-031-how-the-sun-powers-earth.png","lesson-031-how-the-sun-powers-earth.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,32.5,117,"close up of kellys eyes.png",1344x768,840.67,92666933c5991266e99b1c99e8da9d4c7236c64238adcb33388fe7d92c4f98cc
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-033-what-gravity-actually-does.png","lesson-033-what-gravity-actually-does.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,41.25,108,"close up of kellys eyes.png",1344x768,775.08,99993999a66666339b265b0cb6cc664469b69b367b3196c96cdb1992c3343e64
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-038-what-makes-wind-blow.png","lesson-038-what-makes-wind-blow.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,26.0,124,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",1344x768,711.5,b766473398cc76668c63599c893319ce79998cc5d9cc893364ce2a99d9999999
