time_s,rms_db,f0_hz,pitch_conf
5.632,-26.293962,190.41804342135148,0.4260623290432809
5.664,-28.922388,188.23090565017245,0.7571601330199093
5.696,-30.177662,190.41804342135148,0.09203757081218113
5.728,-28.18507,200.5789474828077,0.32333605839064083
5.76,-25.61621,204.08500572708806,0.4849868077159113
5.792,-23.752577,205.2672581380976,0.48498680771591124
5.824,-23.018148,202.90956258890662,0.12793708630129036
5.856,-23.518106,201.74088950502764,0.020317628556360583
5.888,-24.888973,197.13312122062953,0.012403124793551344
5.92,-27.399754,189.3213161937526,0.10857977072874497
5.952,-30.972929,184.9972113558172,0.6860828109301791
5.984,-33.76244,183.93170582347207,0.018187375734912182
6.016,-33.33302,188.23090565017245,0.010000016226422834
6.048,-32.192986,0.0,0.010000328238669023
6.08,-31.838268,0.0,0.010000127756614517
6.112,-32.71325,0.0,0.010001871694800761
6.144,-35.050014,0.0,0.010000303903095059
6.176,-40.06894,0.0,0.01000080278092725
6.208,-58.944313,0.0,0.01010197459374499
6.24,-90.108025,0.0,0.010000000047726026
6.272,-91.362144,0.0,0.01
6.304,-91.31377,0.0,0.01
6.336,-91.18733,0.0,0.01
6.368,-91.18474,0.0,0.01
6.4,-91.174385,0.0,0.01
6.432,-91.32715,0.0,0.01
6.464,-91.33251,0.0,0.01
6.496,-91.29776,0.0,0.01
6.528,-37.392883,241.30149553281768,0.010467533617069905
6.56,-26.07228,226.44649206156825,0.2407543944755742
6.592,-21.887606,227.75828324510303,0.5485250542599845
6.624,-19.168325,230.40470702053787,0.5485250542599845
6.656,-18.016228,233.08188075904494,0.48498680771591124
6.688,-18.319742,234.43211035826653,0.5485250542599845
6.72,-18.795246,241.30149553281768,0.48498680771591124
6.752,-19.81336,249.81097439559304,0.4849868077159113
6.784,-21.278212,258.62053938239393,0.5485250542599845
6.816,-21.967506,261.6255653005986,0.8266685594724995
6.848,-23.40331,258.62053938239393,0.3721358982975089
6.88,-24.678154,239.91170118635668,0.27960516533635904
6.912,-24.016598,238.52991146631203,0.4849868077159113
6.944,-23.401577,237.15608026942812,0.48498680771591124
6.976,-21.725506,231.73942791006385,0.4849868077159113
7.008,-20.853394,227.75828324510303,0.5485250542599844
7.04,-19.907612,227.75828324510303,0.6860828109301791
7.072,-19.851536,226.44649206156825,0.7571601330199091
7.104,-21.193619,221.27444703492776,0.8266685594724995
7.136,-23.091467,219.99999999999997,0.6860828109301791
7.168,-25.1441,219.99999999999997,0.32333605839064083
7.2,-25.81872,219.99999999999997,0.24075439447557417
7.232,-24.177675,218.73289323986043,0.15046460134333883
7.264,-22.858791,208.85526660911424,0.1765306086328975
7.296,-23.777565,207.65234878997256,0.4849868077159113
7.328,-24.237476,207.65234878997256,0.48498680771591124
7.36,-26.05981,207.65234878997256,0.8911444948731201
7.392,-31.312332,208.85526660911424,0.047686993082531035
7.424,-28.720255,217.47308447763714,0.03489742801962526
7.456,-26.088705,217.47308447763714,0.06608151270920702
7.488,-24.285126,214.97519305553408,0.20650679911775216
7.52,-23.179718,206.4563592676515,0.5485250542599845
7.552,-23.40165,202.90956258890662,0.8911444948731202
7.584,-22.692478,200.5789474828077,0.48498680771591124
7.616,-22.643467,199.42369775418427,0.3721358982975089
7.648,-22.215683,200.5789474828077,0.15046460134333886
7.68,-21.455328,200.5789474828077,0.24075439447557417
7.712,-21.973995,200.5789474828077,0.3233360583906408
7.744,-21.945831,201.74088950502764,0.686082810930179
7.776,-22.981663,200.5789474828077,0.8911444948731203
7.808,-24.973936,201.74088950502764,0.42606232904328095
7.84,-24.137432,198.27510177438265,0.3721358982975089
7.872,-24.077305,199.42369775418427,0.4260623290432809
7.904,-23.613243,199.42369775418427,0.4849868077159113
7.936,-23.048897,199.42369775418427,0.7571601330199091
7.968,-23.762917,200.5789474828077,0.7571601330199091
8.0,-25.050621,200.5789474828077,0.8911444948731203
8.032,-25.938065,201.74088950502764,0.5485250542599845
8.064,-27.002125,206.4563592676515,0.4849868077159112
8.096,-29.49795,207.65234878997256,0.020317628556360583
8.128,-30.78951,207.65234878997256,0.010622609040911531
8.16,-32.073902,207.65234878997256,0.010006178555334078
8.192,-29.991934,197.13312122062953,0.0100028158258111
8.224,-28.745127,193.74649219115264,0.015085587297504336
8.256,-27.552765,193.74649219115264,0.056071395445892624
8.288,-26.670486,193.74649219115264,0.17653060863289743
8.32,-26.84287,192.63059450929475,0.7571601330199093
8.352,-26.32001,192.63059450929475,0.4849868077159113
8.384,-25.424866,194.86885420251932,0.4849868077159112
8.416,-25.126455,193.74649219115264,0.3233360583906409
8.448,-25.639269,193.74649219115264,0.04069733156888105
8.48,-26.99656,192.63059450929475,0.02031762855636059
8.512,-30.006237,188.23090565017245,0.010824463728234167
8.544,-34.920876,181.8190699939266,0.01002672467381077
8.576,-41.418594,0.0,0.010001873046012553
8.608,-42.18144,0.0,0.010000000101429395
8.64,-40.589478,0.0,0.0100000000000754
8.672,-37.49804,0.0,8.408204953877114e-16
8.704,-37.74577,0.0,2.9831136658642024e-15
8.736,-38.317165,0.0,1.019044552752316e-14
8.768,-39.644627,0.0,2.0322103083224287e-13
8.8,-47.475315,0.0,0.010000328562817785
8.832,-48.437325,0.0,0.010000516700650382
8.864,-59.233208,0.0,0.018187375734912182
8.896,-83.28676,0.0,0.01000419105279527
8.928,-90.07776,0.0,0.010000005216229449
8.96,-90.7225,0.0,0.010000000009505967
8.992,-91.44123,0.0,0.01
9.024,-91.56971,0.0,0.01
9.056,-91.56121,0.0,0.01
9.088,-91.658485,0.0,0.01
9.12,-91.49105,0.0,0.01
9.152,-91.1383,0.0,0.01
9.184,-61.936653,0.0,0.0100000000000754
9.216,-21.525093,0.0,0.012403124793551348
9.248,-17.45241,212.505992363466,0.06608151270920701
9.28,-14.992634,214.97519305553408,0.17653060863289743
9.312,-13.728109,216.22053167995523,0.2065067991177522
9.344,-13.754363,218.73289323986043,0.5485250542599844
9.376,-14.646358,219.99999999999997,0.6860828109301792
9.408,-16.70802,222.55627686642293,0.8266685594724996
9.44,-19.565464,225.1422562392905,0.5485250542599845
9.472,-22.792976,222.55627686642293,0.056071395445892624
9.504,-22.089825,208.85526660911424,0.04069733156888106
9.536,-20.006964,207.65234878997256,0.1765306086328975
9.568,-19.776325,206.4563592676515,0.27960516533635893
9.6,-20.20281,206.4563592676515,0.42606232904328095
9.632,-22.560059,205.2672581380976,0.7571601330199093
9.664,-27.17413,205.2672581380976,0.03010686179419501
9.696,-26.300867,207.65234878997256,0.12793708630129036
9.728,-24.843729,207.65234878997256,0.17653060863289746
9.76,-24.041374,205.2672581380976,0.279605165336359
9.792,-24.465494,194.86885420251932,0.615949885458068
9.824,-25.395779,194.86885420251932,0.6860828109301791
9.856,-26.283623,193.74649219115264,0.9459302094659091
9.888,-27.689697,192.63059450929475,0.8266685594724996
9.92,-27.95307,202.90956258890662,0.018187375734912182
9.952,-25.271624,0.0,0.010037765502929688
9.984,-21.984976,0.0,0.011422334250709074
10.016,-19.790302,194.86885420251932,0.047686993082531035
10.048,-19.58297,194.86885420251932,0.1279370863012904
10.08,-20.007225,195.99771799087463,0.5485250542599844
10.112,-21.41284,195.99771799087463,0.32333605839064083
10.144,-23.69241,197.13312122062953,0.2065067991177522
10.176,-23.546825,197.13312122062953,0.10857977072874497
10.208,-23.883018,187.14677540918822,0.17653060863289743
10.24,-24.116232,186.06888929891866,0.32333605839064083
10.272,-24.933289,184.9972113558172,0.20650679911775216
10.304,-26.40306,183.93170582347207,0.4260623290432809
10.336,-27.211636,183.93170582347207,0.32333605839064083
10.368,-29.42214,183.93170582347207,0.1504646013433388
10.4,-32.7201,186.06888929891866,0.3721358982975089
10.432,-33.8491,184.9972113558172,0.04768699308253103
10.464,-38.682922,174.61411571650194,0.010000016226422836
10.496,-35.185387,173.60841241450115,0.013980210380185928
10.528,-33.516006,172.60850153728515,0.047686993082531035
10.56,-33.30219,170.6259238017108,0.24075439447557417
10.592,-33.406395,171.61434972294217,0.5485250542599845
10.624,-34.81154,170.6259238017108,0.2065067991177522
10.656,-35.39229,180.77186920887385,0.011422334250709074
10.688,-36.700928,198.27510177438265,0.07797523762294829
10.72,-37.574688,207.65234878997256,0.4849868077159113
10.752,-39.911312,210.06515286029162,0.8911444948731205
10.784,-58.648186,212.505992363466,0.24075439447557423
10.816,-75.7337,237.15608026942812,0.10857977072874497
10.848,-87.06143,229.0776735576574,0.066081512709207
10.88,-91.575386,257.13099468347406,0.01
10.912,-91.63829,258.62053938239393,0.01
10.944,-91.71968,0.0,0.01
10.976,-91.77878,0.0,0.01
11.008,-91.72261,0.0,0.01
11.04,-91.75208,0.0,0.01
11.072,-91.61818,0.0,0.01
11.104,-91.65271,0.0,0.01
11.136,-91.60101,0.0,0.01
11.168,-91.5022,0.0,0.01
11.2,-91.49662,0.0,0.01
11.232,-91.45778,0.0,0.01
11.264,-91.4716,0.0,0.01
11.296,-91.52459,0.0,0.01
11.328,-91.56121,0.0,0.01
11.36,-91.54427,0.0,0.01
11.392,-91.68461,0.0,0.01
11.424,-91.65271,0.0,0.01
11.456,-91.78473,0.0,0.01
11.488,-91.91167,0.0,0.01
11.52,-91.87198,0.0,0.01
11.552,-91.76392,0.0,0.01
11.584,-91.43573,0.0,0.01
11.616,-91.25273,0.0,0.01
11.648,-67.73391,0.0,0.010000000101429398
11.68,-40.49003,0.0,0.010000000000221913
11.712,-34.89446,0.0,0.010000000000613858
11.744,-31.31426,251.2581146483697,0.010000000101429396
11.776,-22.410772,233.08188075904494,0.06608151270920702
11.808,-19.4002,235.7901617579845,0.3233360583906409
11.84,-17.983032,237.15608026942812,0.1504646013433388
11.872,-17.012657,237.15608026942812,0.0779752376229483
11.904,-17.191616,239.91170118635668,0.05607139544589263
11.936,-17.625057,246.94165062806206,0.20650679911775213
11.968,-18.56011,252.71363809934766,0.7571601330199091
12.0,-20.019428,254.17759331190004,0.6860828109301791
12.032,-21.578539,251.2581146483697,0.3721358982975089
12.064,-22.841272,246.94165062806206,0.17653060863289752
12.096,-23.37084,244.1052838549259,0.1765306086328975
12.128,-23.465101,245.51937137864914,0.279605165336359
12.16,-24.544891,245.51937137864914,0.15046460134333878
12.192,-28.977894,238.52991146631203,0.010349055133375846
12.224,-32.641064,0.0,0.010000000047726025
12.256,-32.456078,231.73942791006385,0.010006178555334078
12.288,-23.5789,231.73942791006385,0.3721358982975089
12.32,-21.615925,231.73942791006385,0.7571601330199091
12.352,-21.524878,231.73942791006385,0.8266685594724995
12.384,-21.73859,231.73942791006385,0.8911444948731203
12.416,-25.657701,233.08188075904494,0.7571601330199093
12.448,-27.633448,237.15608026942812,0.04069733156888105
12.48,-25.741865,230.40470702053787,0.07797523762294829
12.512,-25.654377,230.40470702053787,0.07797523762294829
12.544,-25.700338,230.40470702053787,0.09203757081218111
12.576,-27.154217,217.47308447763714,0.12793708630129036
12.608,-27.3367,210.06515286029162,0.279605165336359
12.64,-26.660917,208.85526660911424,0.24075439447557417
12.672,-26.511095,208.85526660911424,0.1504646013433388
12.704,-27.67063,208.85526660911424,0.030106861794195014
12.736,-28.955574,210.06515286029162,0.010349055133375844
12.768,-27.509478,210.06515286029162,0.030106861794195007
12.8,-26.086716,208.85526660911424,0.20650679911775216
12.832,-26.318619,205.2672581380976,0.5485250542599844
12.864,-27.442184,201.74088950502764,0.6860828109301791
12.896,-30.099651,200.5789474828077,0.24075439447557417
12.928,-28.929808,213.73702705379327,0.01398021038018593
12.96,-23.20965,212.505992363466,0.4260623290432809
12.992,-22.266392,212.505992363466,0.426062329043281
13.024,-20.670124,213.73702705379327,0.279605165336359
13.056,-20.825172,214.97519305553408,0.279605165336359
13.088,-22.901066,217.47308447763714,0.17653060863289752
13.12,-22.743069,216.22053167995523,0.15046460134333883
13.152,-24.347061,205.2672581380976,0.6860828109301791
13.184,-25.29973,205.2672581380976,0.6159498854580681
13.216,-26.041014,204.08500572708806,0.7571601330199093
13.248,-29.49537,201.74088950502764,0.6159498854580682
13.28,-39.6478,200.5789474828077,0.010002815825811102
13.312,-27.572155,202.90956258890662,0.030106861794195007
13.344,-22.794008,200.5789474828077,0.24075439447557417
13.376,-20.512943,200.5789474828077,0.42606232904328095
13.408,-20.046524,200.5789474828077,0.3721358982975088
13.44,-20.688122,200.5789474828077,0.42606232904328084
13.472,-22.867237,202.90956258890662,0.37213589829750887
13.504,-27.96286,206.4563592676515,0.09203757081218114
13.536,-32.132607,210.06515286029162,0.010052967545965855
13.568,-31.62411,190.41804342135148,0.010009025493342986
13.6,-30.005295,187.14677540918822,0.0229442191246386
13.632,-29.73035,187.14677540918822,0.05607139544589262
13.664,-29.579447,186.06888929891866,0.09203757081218114
13.696,-30.938044,183.93170582347207,0.034897428019625254
13.728,-33.48405,183.93170582347207,0.01000020633903134
13.76,-33.169285,200.5789474828077,0.010000047007977299
13.792,-30.468653,194.86885420251932,0.01646758759311301
13.824,-27.877205,194.86885420251932,0.3721358982975089
13.856,-27.319176,194.86885420251932,0.8911444948731201
13.888,-27.765749,192.63059450929475,0.9848789761259923
13.92,-29.268631,192.63059450929475,0.9459302094659092
13.952,-29.924763,192.63059450929475,0.04069733156888106
13.984,-27.851742,189.3213161937526,0.04768699308253103
14.016,-25.949638,187.14677540918822,0.06608151270920702
14.048,-24.68118,186.06888929891866,0.20650679911775222
14.08,-24.648378,186.06888929891866,0.6159498854580681
14.112,-25.4298,186.06888929891866,0.3721358982975088
14.144,-26.936771,187.14677540918822,0.1279370863012904
14.176,-29.407473,188.23090565017245,0.03489742801962525
14.208,-33.56774,0.0,0.010191075496968311
14.24,-42.031242,0.0,0.010006178555334078
14.272,-71.11003,249.81097439559304,0.20650679911775216
14.304,-75.64727,248.37216905734888,0.24075439447557417
14.336,-90.03375,230.40470702053787,0.010000002871100366
14.368,-90.97458,0.0,0.010000000000001869
14.4,-91.292435,0.0,0.01
14.432,-91.43573,0.0,0.01
14.464,-91.44673,0.0,0.01
14.496,-91.43848,0.0,0.01
14.528,-91.49941,0.0,0.01
